Serial2,F05_01,F05_01_ENG,F05_02,F05_02 ENG,F05_03,F05_04,F12,F13,F15,F15 ENG,F16,F16 ENG,F20,F21,F30,F30 ENG,F31_01,F31_01_ENG,F31_02,F31_02_ENG,F31_03,F31_03_ENG,F31_04,F31_04_ENG,F31_05,F31_05_ENG,F31_06,F31_06_ENG,F31_07,F31_07_ENG,F31_08,F31_08_ENG,F32,F33,hFerienDauer,hGruppePersonen,F80,F80_a05,F81_01,F81_02,F81_03,F81_04,F81_05,F81_06,F81_Total,F82_01,F82_02,F82_03,F82_04,F82_05,F82_06,F82_07,F82_Total,F83,F85,F105,F105A,F105_Code,F105_Code_nr,F105_OrgCode,F125,F125_ENG,F125_a11,F125_a11 ENG,F130,F130_a07,F135_01,F12_F13_Mittelwert_2Cat_final
1312,Nord- und Mittelamerika,North and Central America,Vereinigte Staaten von Amerika,United States of America,Texas,,03.01.2023,19.01.2023,Winter,Winter,Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz,Round trip through Europe: several places to stay in Switzerland,5,16,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,17,2,CHF,,5500,1500,3000,0,0,0,10000,,,,,,,,,,Ja,Veytaux,,Veytaux,291,Montreux Riviera,Andere,Other,"Just went through to see castle in that city we stayed in Zurich, Bern, Zermatt, Geneva, and Zurich airport","Just went through to see castle in that city we stayed in Zurich, Bern, Zermatt, Geneva, and Zurich airport",,,0,Winter
1346,Europa,Europe,Bulgarien,Bulgaria,,,01.02.2023,02.04.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,61,1,€,,1000,120,500,10,100,200,1930,,,,,,,,,,Ja,Montreux,,Montreux,289,Montreux Riviera,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,61,Winter
1485,Europa,Europe,Frankreich,France,Nouvelle-Aquitaine,,22.01.2023,29.01.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,8,3,CHF,,1500,500,600,0,0,500,3100,,,,,,,,,,Ja,Gryon,,Gryon,671,Villars-Diablerets-Gryon-Bex,Gemietete Wohnung / Haus,Rented apartment / house,,,,,8,Winter
1490,Europa,Europe,Schweiz,Switzerland,Schwyz,,26.01.2023,03.02.2023,Winter,Winter,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),9,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,5,,9,5,CHF,,1700,300,1000,200,0,0,3200,,,,,,,,,,Ja,Rougemont,,Rougemont,413,Pays d'Enhaut Tourisme,Gemietete Wohnung / Haus,Rented apartment / house,,,,,9,Winter
1507,Europa,Europe,Schweiz,Switzerland,Luzern,,28.01.2023,04.02.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,8,2,CHF,,1000,800,600,0,0,0,2400,,,,,,,,,,Ja,Les Diablerets,,Les Diablerets,#N/A,Villars-Diablerets-Gryon-Bex,Gemietete Wohnung / Haus,Rented apartment / house,,,,,8,Winter
1547,Europa,Europe,Italien,Italy,Regione Puglia,,01.10.2022,02.10.2022,Herbst,Autumn,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,2,2,CHF,,200,120,50,20,0,0,390,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,2,Summer
1574,Europa,Europe,Schweiz,Switzerland,Waadt,,29.01.2023,30.01.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,2,2,CHF,,0,70,25,0,0,0,95,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Andere,Other,Vacances journalières (retour à Lausanne le soir),Daily holidays (return to Lausanne in the evening),,,2,Winter
1647,Südamerika,South America,Brasilien,Brazil,Sao Paulo,,10.12.2022,25.12.2022,Winter,Winter,Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz,Round trip through Europe: several places to stay in Switzerland,8,15,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,21,,16,21,CHF,,35000,20000,10000,2000,1000,0,68000,,,,,,,,,,Ja,Montreux,,Montreux,289,Montreux Riviera,Hotel / Kurhaus,Hotel / Spa House,,,*****,,3,Winter
1654,Europa,Europe,Frankreich,France,Grand Est,,27.01.2023,01.02.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,6,2,€,,500,0,60,0,0,0,560,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,6,Winter
1670,Europa,Europe,Schweiz,Switzerland,Genf,,27.01.2023,28.01.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,2,2,CHF,,250,0,200,0,0,250,700,,,,,,,,,,Ja,Les Diablerets,,Les Diablerets,#N/A,Villars-Diablerets-Gryon-Bex,Hotel / Kurhaus,Hotel / Spa House,,,***,,2,Winter
1682,Europa,Europe,Schweiz,Switzerland,Wallis,,30.01.2023,03.02.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,5,2,CHF,,650,0,600,0,0,0,1250,,,,,,,,,,Ja,Villars-sur-Ollon,,Villars-sur-Ollon,#N/A,Villars-Diablerets-Gryon-Bex,Serviced Apartments / Chalets / Villas (Service während Aufenthalt),Serviced Apartments / Chalets / Villas (service during stay),,,,,5,Winter
1729,Europa,Europe,Vereinigtes Königreich,United Kingdom,Scotland,Glasgow,22.01.2023,27.01.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,6,3,CHF,,837,228,1200,0,0,0,2265,,,,,,,,,,Ja,Villars-sur-Ollon,,Villars-sur-Ollon,#N/A,Villars-Diablerets-Gryon-Bex,Hotel / Kurhaus,Hotel / Spa House,,,***,,6,Winter
1799,Südamerika,South America,Kolumbien,Colombia,,,28.01.2023,30.01.2023,Winter,Winter,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),3,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,3,2,€,,1000,0,0,0,0,0,1000,,,,,,,,,,Ja,Montreux,,Montreux,289,Montreux Riviera,Hotel / Kurhaus,Hotel / Spa House,,,*****,,1,Winter
1831,Europa,Europe,Schweiz,Switzerland,Bern,,04.02.2023,06.02.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,3,3,CHF,,300,160,200,0,0,0,660,,,,,,,,,,Ja,Leysin,,Leysin,7,Aigle-Leysin-Les Mosses,Gemietete Wohnung / Haus,Rented apartment / house,,,,,3,Winter
1895,Nord- und Mittelamerika,North and Central America,Vereinigte Staaten von Amerika,United States of America,California,,28.12.2022,11.01.2023,Winter,Winter,Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz,Round trip through Europe: several places to stay in Switzerland,3,15,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,15,2,$,,3000,2500,800,500,500,300,7600,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,,#N/A,,,,,,Winter
1908,Asien,Asia,Oman,Oman,Ash Sharqiyah South,,07.02.2023,15.02.2023,Winter,Winter,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),3,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,6,,9,6,$,,10000,0,0,0,0,0,10000,,,,,,,,,,Ja,???,,Yens,296,Morges Région,Gemietete Wohnung / Haus,Rented apartment / house,,,,,3,Winter
1946,Asien,Asia,Hongkong (CN),Hong Kong (CN),Kowloon City Kowloon,,28.01.2023,07.02.2023,Winter,Winter,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),3,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,5,,11,5,CHF,,10000,2500,5500,1200,300,0,19500,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,1,Winter
2120,Asien,Asia,Hongkong (CN),Hong Kong (CN),Tsuen Wan New Territories,,21.01.2023,31.01.2023,Winter,Winter,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),4,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,11,2,CHF,,1600,1300,600,40000,0,780,44280,,,,,,,,,,Ja,Château-d'Oex (??),,Château-d'Oex,411,Pays d'Enhaut Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,1,Winter
2239,Asien,Asia,Singapur,Singapore,North East,,02.12.2022,15.12.2022,Winter,Winter,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),4,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,5,,14,5,Andere,SGD,8200,3000,1500,100,500,1000,14300,,,,,,,,,,Ja,Montreux,,Montreux,289,Montreux Riviera,Hotel / Kurhaus,Hotel / Spa House,,,****,,3,Winter
