Serial2;F05_01;F05_01 ENG;F05_02;F05_02 ENG;F05_03;F05_04;F12;F13;F15;F15 ENG;F16;F16 ENG;F17;F20;F21;F30;F30 ENG;F31_01;F31_01_ENG;F31_02;F31_02_ENG;F31_03;F31_03_ENG;F31_04;F31_04_ENG;F31_05;F31_05_ENG;F31_06;F31_06_ENG;F31_07;F31_07_ENG;F31_08;F31_08_ENG;F31_09;F32;F33;hFerienDauer;hGruppePersonen;F80;F80_a05;F81_01;F81_02;F81_03;F81_04;F81_05;F81_06;F81_Total;F82_01;F82_02;F82_03;F82_04;F82_05;F82_06;F82_07;F82_Total;F83;F85;F105;F105A;F105_Code;F105_Code_nr;F105_OrgCode;F125;F125_ENG;F125_a11;F125_a11 ENG;F130;F130_a07;F135_01;F12_F13_Mittelwert_2Cat_final
10254;Nord- und Mittelamerika;North and Central America;Mexiko;Mexico;Mexico;;31.01.23;22.04.23;Winter;Winter;Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz;Round trip through Europe: several places to stay in Switzerland;;3;4;Nein;Non;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;1;;82;1;$;;30000;7000;17000;7000;10000;0;71000;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Gemietete Wohnung / Haus;Rented apartment / house;;;;;67;Winter
23478;Europa;Europe;Tschechien;Czechia;Stredocesky kraj;;31.10.23;05.11.23;Herbst;Autumn;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;6;2;Andere;CZK;25000;12000;7000;1000;0;0;45000;;;;;;;;;;Ja;Yverdon-les-Bains;;Yverdon-les-Bains;695;Yverdon-les-Bains Région;Hotel / Kurhaus;Hotel / Spa House;;;****;;6;Winter
24257;Asien;Asia;Japan;Japan;Tokyo;;14.10.23;14.01.24;Winter;Winter;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;1;;93;1;$;;25000;1000;8000;30000;12000;2000;78000;;;;;;;;;;Ja;Lausanne (?????);;Lausanne;253;Lausanne Tourisme;Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.);Free apartment/house (own or from friends / relatives etc.);;;;;93;Winter
19098;Nord- und Mittelamerika;North and Central America;Vereinigte Staaten von Amerika;United States of America;California;;24.06.23;27.08.23;Sommer;Summer;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;2;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;17;;65;17;CHF;;24000;14000;8000;2000;3000;2000;53000;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Serviced Apartments / Chalets / Villas (Service während Aufenthalt);Serviced Apartments / Chalets / Villas (service during stay);;;;;28;Summer
2693;Südamerika;South America;Brasilien;Brazil;Goias;;09.02.23;20.02.23;Winter;Winter;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;3;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;14;;12;14;Andere;Real;20000;5000;15000;400;1000;0;41400;;;;;;;;;;Ja;Leysin;;Leysin;7;Aigle-Leysin-Les Mosses;Gemietete Wohnung / Haus;Rented apartment / house;;;;;7;Winter
3056;Südamerika;South America;Brasilien;Brazil;Goias;;12.02.23;04.03.23;Winter;Winter;Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz;Round trip through Europe: several places to stay in Switzerland;;2;30;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;5;;21;5;$;;20000;3000;5000;6000;5000;8000;47000;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Gemietete Wohnung / Haus;Rented apartment / house;;;;;18;Winter
15863;Südamerika;South America;Uruguay;Uruguay;;;03.06.23;21.08.23;Sommer;Summer;Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz;Round trip through Europe: several places to stay in Switzerland;;7;80;Nein;Non;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;1;;80;1;CHF;;18000;4000;3000;1800;2000;15000;43800;;;;;;;;;;Ja;Villeneuve (VD);;Villeneuve (VD);292;Montreux Riviera;Hotel / Kurhaus;Hotel / Spa House;;;****;;1;Summer
11778;Europa;Europe;Schweiz;Switzerland;Basel-Stadt;;07.06.23;23.06.23;Sommer;Summer;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;8;;Nein;Non;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;;23;17;23;CHF;;15000;9500;5600;0;0;1000;31100;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Hotel / Kurhaus;Hotel / Spa House;;;***;;5;Summer
16130;Europa;Europe;Belgien;Belgium;Flemish Region;;20.07.23;07.08.23;Sommer;Summer;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;;20;19;20;€;;14000;0;1000;500;200;50;15750;;;;;;;;;;Ja;Leysin;;Leysin;7;Aigle-Leysin-Les Mosses;Hotel / Kurhaus;Hotel / Spa House;;;****;;19;Summer
11240;Europa;Europe;Niederlande;Netherlands;Overijssel;;19.05.23;23.05.23;Frühling;Spring;Rundreise durch Europa: nur ein Übernachtungsort in der Schweiz;Round trip through Europe: only one overnight stay in Switzerland;;;11;Nein;Non;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;;26+;5;26+;CHF;;14000;0;3000;1800;1200;0;20000;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Hotel / Kurhaus;Hotel / Spa House;;;***;;4;Summer
4122;Europa;Europe;Tschechien;Czechia;Region Plzensky kraj;;01.07.22;07.03.23;Sommer;Summer;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;4;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;;2;;250;2;CHF;;14000;1000;4000;500;500;500;20500;;;;;;;;;;Ja;Morges;;Morges;295;Morges Région;Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.);Free apartment/house (own or from friends / relatives etc.);;;;;90;Winter
22097;Europa;Europe;Tschechien;Czechia;Kralovehradecky kraj;;16.09.23;30.09.23;Herbst;Autumn;Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz;Round trip through Europe: several places to stay in Switzerland;;2;15;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;15;2;Andere;Czech crowns;12000;6000;4000;1000;1000;0;24000;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Gemietete Wohnung / Haus;Rented apartment / house;;;;;0;Summer
18357;Europa;Europe;Deutschland;Germany;Niedersachsen;;05.09.22;20.08.23;Sommer;Summer;Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz;Round trip through Europe: several places to stay in Switzerland;;5;21;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;350;2;CHF;;12000;400;2400;200;0;2000;17000;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Gemietete Wohnung / Haus;Rented apartment / house;;;;;300;Winter
10415;Europa;Europe;Tschechien;Czechia;Stredocesky kraj;;29.04.23;02.05.23;Frühling;Spring;Rundreise durch Europa: nur ein Übernachtungsort in der Schweiz;Round trip through Europe: only one overnight stay in Switzerland;;;3;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;5;;4;5;Andere;CZK;12000;5000;4000;1000;0;0;22000;;;;;;;;;;Ja;Montreux;;Montreux;289;Montreux Riviera;Gemietete Wohnung / Haus;Rented apartment / house;;;;;0;Winter
1908;Asien;Asia;Oman;Oman;Ash Sharqiyah South;;07.02.23;15.02.23;Winter;Winter;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;3;;Nein;Non;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;6;;9;6;$;;10000;0;0;0;0;0;10000;;;;;;;;;;Ja;???;;Yens;296;Morges Région;Gemietete Wohnung / Haus;Rented apartment / house;;;;;3;Winter
2793;Europa;Europe;Frankreich;France;Bourgogne-Franche-Comté;;11.02.23;18.02.23;Winter;Winter;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;26+;;8;26+;CHF;;10000;0;14000;0;10000;7500;41500;;;;;;;;;;Ja;Ormont-Dessus;;Ormont-Dessus;673;Villars-Diablerets-Gryon-Bex;Gruppenunterkunft;Group accommodation;;;;;8;Winter
3084;Europa;Europe;Frankreich;France;Île-de-France;;27.01.23;31.01.23;Winter;Winter;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;;10;5;10;CHF;;10000;500;3000;0;0;100;13600;;;;;;;;;;Ja;Rougemont;;Rougemont;413;Pays d'Enhaut Tourisme;Berghütte / SAC;Mountain hut / SAC;;;;;5;Winter
1946;Asien;Asia;Hongkong (CN);Hong Kong (CN);Kowloon City Kowloon;;28.01.23;07.02.23;Winter;Winter;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;3;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;5;;11;5;CHF;;10000;2500;5500;1200;300;0;19500;;;;;;;;;;Ja;Château-d'Oex;;Château-d'Oex;411;Pays d'Enhaut Tourisme;Hotel / Kurhaus;Hotel / Spa House;;;****;;1;Winter
17973;Asien;Asia;Malaysia;Malaysia;Selangor;;05.07.23;21.07.23;Sommer;Summer;Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz;Round trip through Europe: several places to stay in Switzerland;;14;16;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;5;;17;5;CHF;;10000;5000;25000;30000;5000;5000;80000;;;;;;;;;;Ja;Montreux;;Montreux;289;Montreux Riviera;Serviced Apartments / Chalets / Villas (Service während Aufenthalt);Serviced Apartments / Chalets / Villas (service during stay);;;;;2;Summer
15004;Europa;Europe;Schweiz;Switzerland;Thurgau;;10.07.23;30.07.23;Sommer;Summer;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;24;;21;24;CHF;;10000;100;8000;0;0;0;18100;;;;;;;;;;Ja;Yverdon-les-Bains;;Yverdon-les-Bains;695;Yverdon-les-Bains Région;Berghütte / SAC;Mountain hut / SAC;;;;;21;Summer
10487;Asien;Asia;Hongkong (CN);Hong Kong (CN);Wong Tai Sin Kowloon;;28.04.23;06.05.23;Frühling;Spring;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;;1;;9;1;$;;10000;3000;4000;8000;10000;1000;36000;;;;;;;;;;Ja;Montreux;;Montreux;289;Montreux Riviera;Hotel / Kurhaus;Hotel / Spa House;;;****;;9;Summer
24705;Afrika;Africa;Elfenbeinküste;Ivory Coast;;;22.12.23;28.12.23;Winter;Winter;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;6;;7;6;€;;10000;0;5000;0;0;0;15000;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Hotel / Kurhaus;Hotel / Spa House;;;*****;;7;Winter
21292;Europa;Europe;Schweiz;Switzerland;Bern;;12.09.23;14.09.23;Herbst;Autumn;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;2;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;25;;3;25;CHF;;9000;0;4000;0;0;0;13000;;;;;;;;;;Ja;Morges;;Morges;295;Morges Région;Hotel / Kurhaus;Hotel / Spa House;;;****;;2;Summer
12393;Asien;Asia;Indien;India;Uttar Pradesh;;10.06.23;21.06.23;Sommer;Summer;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;3;;Nein;Non;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;7;;12;7;CHF;;8500;2100;1500;500;800;200;13600;;;;;;;;;;Ja;Nyon;;Nyon;313;Nyon Région Tourisme;Hotel / Kurhaus;Hotel / Spa House;;;Nicht bekannt;;3;Summer
15344;Nord- und Mittelamerika;North and Central America;Vereinigte Staaten von Amerika;United States of America;California;;20.06.23;18.07.23;Sommer;Summer;Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz;Round trip through Europe: several places to stay in Switzerland;;6;21;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;29;2;$;;8320;2459;3338;17988;0;600;32705;;;;;;;;;;Ja;Montreux;;Montreux;289;Montreux Riviera;Hotel / Kurhaus;Hotel / Spa House;;;*****;;3;Summer
15638;Südamerika;South America;Brasilien;Brazil;Sao Paulo;;21.07.23;05.08.23;Sommer;Summer;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;3;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;16;2;CHF;;8300;1350;3000;3300;0;0;15950;;;;;;;;;;Ja;Montreux;;Montreux;289;Montreux Riviera;Hotel / Kurhaus;Hotel / Spa House;;;*****;;5;Summer
